"n°UAI de l'établissement";"Libellé de l'établissement";"Région";;;"Taux";"Taux attendu";"Valeur ajoutée";;;
"0070001N";"Lycée polyvalent public Boissy d'Anglas - Lycée des métiers de la création industrielle";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";46;64;52;12;67;66;70
"0070001N";"Lycée polyvalent public Boissy d'Anglas - Lycée des métiers de la création industrielle";"AUVERGNE-RHONE-ALPES";"dont apprentis";42;65;69;-4;71;75;67
"0070002P";"Lycée professionnel Joseph et Etienne De Montgolfier";"AUVERGNE-RHONE-ALPES";"ensemble";37;27;32;-5;44;38;49
"0070002P";"Lycée professionnel Joseph et Etienne De Montgolfier";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";36;28;32;-4;44;38;49
"0070002P";"Lycée professionnel Joseph et Etienne De Montgolfier";"AUVERGNE-RHONE-ALPES";"dont apprentis";;;;;;;
"0070003R";"Lycée polyvalent Marcel Gimond";"AUVERGNE-RHONE-ALPES";"ensemble";43;41;43;-3;56;52;69
"0070004S";"Lycée polyvalent Astier";"AUVERGNE-RHONE-ALPES";"ensemble";39;35;34;1;46;45;51
"0070004S";"Lycée polyvalent Astier";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";40;32;32;0;43;43;49
"0070004S";"Lycée polyvalent Astier";"AUVERGNE-RHONE-ALPES";"dont apprentis";;;;;;;
"0070009X";"Lycée professionnel Léon Pavin";"AUVERGNE-RHONE-ALPES";"ensemble";43;47;40;7;62;57;69
"0070009X";"Lycée professionnel Léon Pavin";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";43;47;39;7;60;57;67
"0070009X";"Lycée professionnel Léon Pavin";"AUVERGNE-RHONE-ALPES";"dont apprentis";;;;;;;
"0070016E";"Lycée professionnel hôtelier - Lycée des  métiers de l'hôtellerie et de la restauration innovante";"AUVERGNE-RHONE-ALPES";"ensemble";43;31;40;-9;56;45;59
"0070016E";"Lycée professionnel hôtelier - Lycée des  métiers de l'hôtellerie et de la restauration innovante";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";53;30;29;1;50;45;50
"0070016E";"Lycée professionnel hôtelier - Lycée des  métiers de l'hôtellerie et de la restauration innovante";"AUVERGNE-RHONE-ALPES";"dont apprentis";14;33;45;-12;67;46;75
"0070021K";"Lycée polyvalent Vincent d'Indy";"AUVERGNE-RHONE-ALPES";"ensemble";44;38;47;-9;51;49;61
"0070029U";"Lycée polyvalent Gabriel Faure - Lycée des métiers du commerce et des services";"AUVERGNE-RHONE-ALPES";"ensemble";51;49;50;-1;54;54;57
"0070031W";"Lycée professionnel Marius Bouvier - Lycée de métiers de la prévention et de la protection";"AUVERGNE-RHONE-ALPES";"ensemble";53;48;44;4;48;54;58
"0070031W";"Lycée professionnel Marius Bouvier - Lycée de métiers de la prévention et de la protection";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";56;43;39;4;44;50;53
"0070031W";"Lycée professionnel Marius Bouvier - Lycée de métiers de la prévention et de la protection";"AUVERGNE-RHONE-ALPES";"dont apprentis";;;;;;;
"0070064G";"Lycée général et technologique privé Jules Froment";"AUVERGNE-RHONE-ALPES";"ensemble";22;54;55;-1;82;57;64
"0070071P";"Lycée polyvalent privé Sacré Coeur";"AUVERGNE-RHONE-ALPES";"ensemble";44;64;52;12;66;55;70
"0070100W";"Lycée professionnel privé Marc Séguin";"AUVERGNE-RHONE-ALPES";"ensemble";53;40;44;-4;50;54;59
"0070107D";"Lycée professionnel privé Marie Rivier";"AUVERGNE-RHONE-ALPES";"ensemble";62;31;37;-6;53;44;58
"0070112J";"Lycée professionnel privé Saint André";"AUVERGNE-RHONE-ALPES";"ensemble";47;31;35;-4;45;44;51
"0070114L";"Lycée professionnel privé Notre Dame - Lycée des métiers du travail social et de la santé";"AUVERGNE-RHONE-ALPES";"ensemble";43;39;34;5;39;34;43
"0070115M";"Lycée professionnel privé Jules Froment - Lycée des métiers du commerce des services de la santé et du social";"AUVERGNE-RHONE-ALPES";"ensemble";61;33;31;3;58;45;65
"0071126L";"Lycée général et technologique privé Saint Denis";"AUVERGNE-RHONE-ALPES";"ensemble";41;67;58;9;74;65;71
"0071351F";"Lycée polyvalent Xavier Mallet";"AUVERGNE-RHONE-ALPES";"ensemble";49;44;37;7;46;53;56
"0071351F";"Lycée polyvalent Xavier Mallet";"AUVERGNE-RHONE-ALPES";"dont élèves en voie pro sco";49;45;38;7;47;53;56
"0071351F";"Lycée polyvalent Xavier Mallet";"AUVERGNE-RHONE-ALPES";"dont apprentis";;;;;;;
"0071397F";"Lycée polyvalent";"AUVERGNE-RHONE-ALPES";"ensemble";78;;;;;;
"0080007P";"Lycée général et technologique Sévigné";"GRAND EST";"ensemble";25;36;43;-7;39;53;58
"0080007P";"Lycée général et technologique Sévigné";"GRAND EST";"dont élèves en voie pro sco";26;36;43;-7;39;55;58
"0080007P";"Lycée général et technologique Sévigné";"GRAND EST";"dont apprentis";;;;;;;
"0080008R";"Lycée polyvalent François Bazin - Lycée des métiers des technologies industrielles et de l'énergie";"GRAND EST";"ensemble";48;50;54;-4;55;52;62
"0080008R";"Lycée polyvalent François Bazin - Lycée des métiers des technologies industrielles et de l'énergie";"GRAND EST";"dont élèves en voie pro sco";52;43;48;-6;49;48;58
"0080008R";"Lycée polyvalent François Bazin - Lycée des métiers des technologies industrielles et de l'énergie";"GRAND EST";"dont apprentis";33;72;73;-1;72;62;72
"0080010T";"Lycée professionnel Simone Veil - Lycée des métiers des services à la personne, aux organisations administratives et commerciales";"GRAND EST";"ensemble";50;23;28;-5;29;34;41
"0080010T";"Lycée professionnel Simone Veil - Lycée des métiers des services à la personne, aux organisations administratives et commerciales";"GRAND EST";"dont élèves en voie pro sco";50;23;28;-5;29;35;41
"0080010T";"Lycée professionnel Simone Veil - Lycée des métiers des services à la personne, aux organisations administratives et commerciales";"GRAND EST";"dont apprentis";;;;;;;
"0080018B";"Lycée général Vauban";"GRAND EST";"ensemble";;;;;;;
"0080018B";"Lycée général Vauban";"GRAND EST";"dont élèves en voie pro sco";;;;;;;
"0080018B";"Lycée général Vauban";"GRAND EST";"dont apprentis";;;;;;;
"0080027L";"Lycée général et technologique Monge";"GRAND EST";"ensemble";40;40;49;-8;39;49;50
"0080027L";"Lycée général et technologique Monge";"GRAND EST";"dont élèves en voie pro sco";42;42;49;-7;39;49;51
"0080027L";"Lycée général et technologique Monge";"GRAND EST";"dont apprentis";;;;;;;
"0080028M";"Lycée professionnel Charles de Gonzague - Lycée des métiers de l'habitat";"GRAND EST";"ensemble";47;24;26;-2;30;34;38
"0080028M";"Lycée professionnel Charles de Gonzague - Lycée des métiers de l'habitat";"GRAND EST";"dont élèves en voie pro sco";49;22;22;0;26;30;34
"0080028M";"Lycée professionnel Charles de Gonzague - Lycée des métiers de l'habitat";"GRAND EST";"dont apprentis";;;;;;;
"0080039Z";"Lycée polyvalent Paul Verlaine";"GRAND EST";"ensemble";50;18;26;-8;33;31;39
"0080039Z";"Lycée polyvalent Paul Verlaine";"GRAND EST";"dont élèves en voie pro sco";50;17;26;-9;32;30;39
"0080039Z";"Lycée polyvalent Paul Verlaine";"GRAND EST";"dont apprentis";;;;;;;
"0080040A";"Lycée polyvalent Jean Moulin";"GRAND EST";"ensemble";53;22;24;-2;29;33;35
"0080045F";"Lycée général et technologique Pierre Bayle";"GRAND EST";"ensemble";18;32;44;-12;36;36;45
"0080047H";"Lycée professionnel Jean-Baptiste Clément - Lycée des métiers de l'automobile et de l'industrie";"GRAND EST";"ensemble";53;40;38;2;45;51;54
"0080047H";"Lycée professionnel Jean-Baptiste Clément - Lycée des métiers de l'automobile et de l'industrie";"GRAND EST";"dont élèves en voie pro sco";57;32;30;2;35;46;49
"0080047H";"Lycée professionnel Jean-Baptiste Clément - Lycée des métiers de l'automobile et de l'industrie";"GRAND EST";"dont apprentis";39;63;60;3;70;64;66
"0080048J";"Lycée professionnel Le Château";"GRAND EST";"ensemble";52;17;23;-7;22;26;29
"0080082W";"Lycée polyvalent privé Saint Paul";"GRAND EST";"ensemble";60;21;25;-4;33;33;50
"0080093H";"Lycée professionnel privé Jeanne d'Arc";"GRAND EST";"ensemble";37;19;31;-12;41;31;50
"0081047V";"Lycée polyvalent Bazeilles - Lycée des métiers de l'hôtellerie-restauration et du tourisme";"GRAND EST";"ensemble";43;45;45;0;54;45;57
"0090002D";"Lycée général et technologique Gabriel Fauré";"OCCITANIE";"ensemble";39;50;53;-3;52;57;61
"0090003E";"Lycée professionnel Jean Durroux";"OCCITANIE";"ensemble";51;28;29;0;42;39;47
"0090006H";"Lycée professionnel Joseph Marie Jacquard - Lycée des métiers des stations pyrénéennes";"OCCITANIE";"ensemble";57;28;36;-8;26;38;51
"0090013R";"Lycée polyvalent Mirepoix";"OCCITANIE";"ensemble";45;67;57;10;58;56;71
"0090013R";"Lycée polyvalent Mirepoix";"OCCITANIE";"dont élèves en voie pro sco";48;64;55;9;57;57;74
"0090013R";"Lycée polyvalent Mirepoix";"OCCITANIE";"dont apprentis";;;;;;;
"0090015T";"Lycée polyvalent Pyrène";"OCCITANIE";"ensemble";46;36;42;-6;39;37;46
"0090018W";"Lycée général du Couserans";"OCCITANIE";"ensemble";43;25;37;-12;20;30;20
"0090019X";"Lycée professionnel Aristide Bergès - Lycée des métiers bâtiment, habitat dans le développement durable";"OCCITANIE";"ensemble";49;38;35;3;48;50;60
"0090019X";"Lycée professionnel Aristide Bergès - Lycée des métiers bâtiment, habitat dans le développement durable";"OCCITANIE";"dont élèves en voie pro sco";52;34;29;5;41;46;54
"0090019X";"Lycée professionnel Aristide Bergès - Lycée des métiers bâtiment, habitat dans le développement durable";"OCCITANIE";"dont apprentis";;;;;;;
"0090020Y";"Lycée professionnel François Camel - Lycée des métiers restauration et services à la personne";"OCCITANIE";"ensemble";41;29;37;-8;34;41;50
"0090020Y";"Lycée professionnel François Camel - Lycée des métiers restauration et services à la personne";"OCCITANIE";"dont élèves en voie pro sco";44;28;35;-6;32;40;50
"0090020Y";"Lycée professionnel François Camel - Lycée des métiers restauration et services à la personne";"OCCITANIE";"dont apprentis";10;;;;;;
"0090024C";"Lycée professionnel Dr Philippe Tissié - Lycée des métiers maintenance des engins mécaniques";"OCCITANIE";"ensemble";58;58;49;9;67;61;60
"0090024C";"Lycée professionnel Dr Philippe Tissié - Lycée des métiers maintenance des engins mécaniques";"OCCITANIE";"dont élèves en voie pro sco";59;57;47;10;65;61;59
"0090024C";"Lycée professionnel Dr Philippe Tissié - Lycée des métiers maintenance des engins mécaniques";"OCCITANIE";"dont apprentis";;;;;;;
"0090045A";"Lycée professionnel privé Les Jacobins";"OCCITANIE";"ensemble";55;50;38;12;53;50;59
"0090481Z";"Etablissement régional d'enseignement adapté Guy Villeroux";"OCCITANIE";"ensemble";38;32;26;6;32;57;57
"0100003Z";"Lycée polyvalent Gaston Bachelard";"GRAND EST";"ensemble";47;29;31;-2;44;24;42
"0100004A";"Lycée professionnel Val Moré - Lycée des métiers de la maintenance des matériels agricoles et de travaux publics";"GRAND EST";"ensemble";27;60;54;7;69;72;70
"0100004A";"Lycée professionnel Val Moré - Lycée des métiers de la maintenance des matériels agricoles et de travaux publics";"GRAND EST";"dont élèves en voie pro sco";28;56;47;9;66;70;69
"0100004A";"Lycée professionnel Val Moré - Lycée des métiers de la maintenance des matériels agricoles et de travaux publics";"GRAND EST";"dont apprentis";24;79;80;-1;79;79;76
"0100015M";"Lycée général et technologique F. et I. Joliot Curie";"GRAND EST";"ensemble";8;46;54;-9;57;54;54
"0100016N";"Lycée professionnel Denis Diderot";"GRAND EST";"ensemble";53;27;32;-5;28;33;33
"0100016N";"Lycée professionnel Denis Diderot";"GRAND EST";"dont élèves en voie pro sco";55;22;27;-5;23;29;29
"0100016N";"Lycée professionnel Denis Diderot";"GRAND EST";"dont apprentis";;;;;;;
"0100022V";"Lycée général et technologique Chrestien de Troyes";"GRAND EST";"ensemble";35;74;62;12;66;71;69
"0100022V";"Lycée général et technologique Chrestien de Troyes";"GRAND EST";"dont élèves en voie pro sco";38;73;61;12;64;69;67
"0100022V";"Lycée général et technologique Chrestien de Troyes";"GRAND EST";"dont apprentis";;;;;;;
"0100023W";"Lycée polyvalent Marie de Champagne";"GRAND EST";"ensemble";53;42;40;3;48;52;54
"0100023W";"Lycée polyvalent Marie de Champagne";"GRAND EST";"dont élèves en voie pro sco";53;42;40;2;47;52;54
"0100023W";"Lycée polyvalent Marie de Champagne";"GRAND EST";"dont apprentis";;;;;;;
"0100025Y";"Lycée polyvalent Les Lombards";"GRAND EST";"ensemble";50;32;40;-8;44;40;58
"0100025Y";"Lycée polyvalent Les Lombards";"GRAND EST";"dont élèves en voie pro sco";50;32;40;-7;44;40;59
"0100025Y";"Lycée polyvalent Les Lombards";"GRAND EST";"dont apprentis";;;;;;;
"0100059K";"Lycée technologique privé La Salle";"GRAND EST";"ensemble";31;58;50;8;57;60;59
"0100063P";"Lycée professionnel privé Léonie Aviat";"GRAND EST";"ensemble";42;44;33;11;38;54;55
"0100078F";"Lycée professionnel privé Jeanne Mance";"GRAND EST";"ensemble";32;33;33;-1;47;41;47
"0100945Y";"Lycée professionnel Gabriel Voisin Lycée des Métiers de l'automobile et de la relation client";"GRAND EST";"ensemble";45;37;34;3;40;42;47
"0101015Z";"Lycée professionnel privé La Salle - Lycée des métiers du bâtiment performant, du design et de la communication digitale";"GRAND EST";"ensemble";49;46;44;3;57;55;60
"0101016A";"Lycée général et technologique Edouard Herriot";"GRAND EST";"ensemble";31;54;53;1;56;64;67
"0101022G";"Lycée professionnel Edouard Herriot - Lycée des métiers de la mode, de l'hôtellerie et de la restauration";"GRAND EST";"ensemble";42;39;33;6;45;48;50
"0110004V";"Lycée général et technologique Paul Sabatier";"OCCITANIE";"ensemble";34;42;48;-6;42;50;53
"0110007Y";"Lycée polyvalent Jules Fil, lycée des métiers de la santé, du social et des sciences de l'industrie numérique";"OCCITANIE";"ensemble";43;30;34;-4;40;38;48
"0110012D";"Lycée polyvalent Germaine Tillion";"OCCITANIE";"ensemble";48;42;46;-4;59;53;64
"0110012D";"Lycée polyvalent Germaine Tillion";"OCCITANIE";"dont élèves en voie pro sco";49;39;44;-6;57;51;63
"0110012D";"Lycée polyvalent Germaine Tillion";"OCCITANIE";"dont apprentis";26;;;;;;
"0110019L";"Lycée polyvalent Jacques Ruffié";"OCCITANIE";"ensemble";37;27;34;-7;38;39;45
"0110022P";"Lycée général et technologique Docteur Lacroix";"OCCITANIE";"ensemble";34;39;51;-12;55;52;55
"0110023R";"Lycée polyvalent Louise Michel";"OCCITANIE";"ensemble";48;36;36;0;52;48;58
"0110027V";"Lycée professionnel Édouard Herriot";"OCCITANIE";"ensemble";46;9;21;-12;21;21;42
"0110045P";"Lycée polyvalent privé Saint Louis";"OCCITANIE";"ensemble";48;23;35;-12;45;41;53
"0110670U";"Lycée polyvalent privé Beauséjour, lycée des métiers de la santé et du social";"OCCITANIE";"ensemble";45;24;30;-6;42;31;53
"0110823K";"Lycée professionnel Charles Cros, lycée des métiers de la commercialisation et de la restauration";"OCCITANIE";"ensemble";45;24;30;-6;35;27;45
"0111048E";"Lycée polyvalent Ernest Ferroul";"OCCITANIE";"ensemble";46;31;28;3;42;42;52
"0120006S";"Lycée polyvalent La Découverte";"OCCITANIE";"ensemble";49;64;55;9;65;66;69
"0120006S";"Lycée polyvalent La Découverte";"OCCITANIE";"dont élèves en voie pro sco";52;59;52;8;63;63;65
"0120006S";"Lycée polyvalent La Découverte";"OCCITANIE";"dont apprentis";24;;;;;;
"0120012Y";"Lycée général et technologique Jean Vigo";"OCCITANIE";"ensemble";40;33;45;-12;62;57;57
"0120014A";"Lycée professionnel Jean Vigo";"OCCITANIE";"ensemble";52;46;43;3;59;51;62
"0120024L";"Lycée général et technologique Alexis Monteil";"OCCITANIE";"ensemble";38;70;58;12;67;60;62
"0120025M";"Lycée polyvalent Jean Jaurès - Lycée des métiers de l'énergie";"OCCITANIE";"ensemble";47;56;51;6;60;63;66
"0120025M";"Lycée polyvalent Jean Jaurès - Lycée des métiers de l'énergie";"OCCITANIE";"dont élèves en voie pro sco";53;46;42;3;52;59;59
"0120025M";"Lycée polyvalent Jean Jaurès - Lycée des métiers de l'énergie";"OCCITANIE";"dont apprentis";;;;;;;
"0120031U";"Lycée général et technologique Raymond Savignac";"OCCITANIE";"ensemble";37;;;;;;
"0120037A";"Lycée professionnel Alexis Monteil - Lycée des métiers industrie et communication";"OCCITANIE";"ensemble";61;41;42;-1;57;60;63
"0120037A";"Lycée professionnel Alexis Monteil - Lycée des métiers industrie et communication";"OCCITANIE";"dont élèves en voie pro sco";62;40;41;-1;57;60;63
"0120037A";"Lycée professionnel Alexis Monteil - Lycée des métiers industrie et communication";"OCCITANIE";"dont apprentis";;;;;;;
"0120038B";"Lycée professionnel Ferdinand Foch";"OCCITANIE";"ensemble";58;38;37;0;44;40;41
"0120096P";"Lycée professionnel du bâtiment - Lycée des métiers du bois et de l'habitat";"OCCITANIE";"ensemble";55;52;51;1;59;62;62
"0120105Z";"Lycée professionnel privé Marguerite Marie";"OCCITANIE";"ensemble";36;27;33;-6;44;27;33
"0121157T";"Lycée professionnel Raymond Savignac";"OCCITANIE";"ensemble";57;45;43;3;47;58;58
"0121178R";"Etablissement régional d'enseignement adapté Villefranche-de-Rouergue";"OCCITANIE";"ensemble";38;30;33;-3;30;23;37
"0121178R";"Etablissement régional d'enseignement adapté Villefranche-de-Rouergue";"OCCITANIE";"dont élèves en voie pro sco";38;28;32;-5;28;21;34
"0121178R";"Etablissement régional d'enseignement adapté Villefranche-de-Rouergue";"OCCITANIE";"dont apprentis";;;;;;;
"0121260E";"Lycée professionnel privé Saint-Joseph";"OCCITANIE";"ensemble";48;58;58;1;88;62;79
"0121309H";"Lycée professionnel privé Saint-Joseph";"OCCITANIE";"ensemble";69;38;40;-1;46;38;46
"0121423G";"Lycée technologique privé Charles Carnus";"OCCITANIE";"ensemble";52;62;60;2;66;66;66
"0121429N";"Lycée professionnel privé Louis Querbes - Lycée des métiers des secteurs tertiaires - Lycée des métiers paramédicaux et sociaux";"OCCITANIE";"ensemble";47;29;41;-12;53;45;53
"0130001F";"LYCEE DES METIERS EMILE ZOLA";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";44;59;52;7;60;65;67
"0130001F";"LYCEE DES METIERS EMILE ZOLA";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";45;59;53;6;61;66;66
"0130001F";"LYCEE DES METIERS EMILE ZOLA";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";;;;;;;
"0130003H";"Lycée polyvalent Vauvenargues";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";46;62;50;12;62;62;72
"0130006L";"Lycée professionnel Gambetta - Lycée des métiers du tertiaire";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";42;43;42;1;47;44;51
"0130006L";"Lycée professionnel Gambetta - Lycée des métiers du tertiaire";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";43;44;43;1;48;44;51
"0130006L";"Lycée professionnel Gambetta - Lycée des métiers du tertiaire";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";;;;;;;
"0130010R";"Lycée polyvalent Montmajour";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";61;;;;;;
"0130011S";"Lycée technologique Louis Pasquet - lycée des métiers des énergies et de l'industrie";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";33;61;52;9;69;61;65
"0130011S";"Lycée technologique Louis Pasquet - lycée des métiers des énergies et de l'industrie";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";33;56;49;7;65;56;60
"0130011S";"Lycée technologique Louis Pasquet - lycée des métiers des énergies et de l'industrie";"PROVENCE-ALPES-COTE D'AZUR";"dont apprentis";;;;;;;
"0130012T";"Section d'enseignement professionnel du lycée polyvalent Montmajour (Perdiguier)";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";50;33;30;2;48;42;53
"0130013U";"Lycée professionnel Gustave Eiffel";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";39;27;36;-9;36;42;44
"0130033R";"Lycée professionnel Louis Blériot - lycée des métiers de l'industrie et des services";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";34;31;31;0;37;41;49
"0130036U";"Lycée général et technologique Périer";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";35;58;56;1;61;66;70
"0130037V";"Lycée général et technologique Marcel Pagnol";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";30;62;58;4;68;65;65
"0130043B";"Lycée général et technologique Victor Hugo";"PROVENCE-ALPES-COTE D'AZUR";"ensemble";31;61;63;-2;66;70;71
"0130043B";"Lycée général et technologique Victor Hugo";"PROVENCE-ALPES-COTE D'AZUR";"dont élèves en voie pro sco";33;62;63;-1;65;70;69
